cve,modAV
CVE-2018-5274,LOCAL
CVE-2018-5275,LOCAL
CVE-2018-5276,LOCAL
CVE-2018-5277,LOCAL
CVE-2018-5278,LOCAL
CVE-2018-5279,LOCAL
CVE-2018-5280,NETWORK
CVE-2018-5281,NETWORK
CVE-2018-5282,LOCAL
CVE-2018-5283,NETWORK
CVE-2018-5284,NETWORK
CVE-2018-5285,NETWORK
CVE-2018-5286,NETWORK
CVE-2018-5287,NETWORK
CVE-2018-5288,NETWORK
CVE-2018-5289,NETWORK
CVE-2018-5290,NETWORK
CVE-2018-5291,NETWORK
CVE-2018-5292,NETWORK
CVE-2018-5293,NETWORK
CVE-2018-5294,NETWORK
CVE-2018-5295,NETWORK
CVE-2018-5296,NETWORK
CVE-2018-5298,NETWORK
CVE-2018-5299,NETWORK
CVE-2018-5301,NETWORK
CVE-2018-5306,NETWORK
CVE-2018-5307,NETWORK
CVE-2018-5308,NETWORK
CVE-2018-5309,NETWORK
CVE-2018-5310,NETWORK
CVE-2018-5311,NETWORK
CVE-2018-5312,NETWORK
CVE-2018-5315,NETWORK
CVE-2018-5316,NETWORK
CVE-2018-5319,NETWORK
CVE-2018-5326,NETWORK
CVE-2018-5327,NETWORK
CVE-2018-5328,NETWORK
CVE-2018-5329,NETWORK
CVE-2018-5330,NETWORK
CVE-2018-5331,NETWORK
CVE-2018-5332,LOCAL
CVE-2018-5333,LOCAL
CVE-2018-5334,NETWORK
CVE-2018-5335,NETWORK
CVE-2018-5336,NETWORK
CVE-2018-5344,LOCAL
CVE-2018-5345,NETWORK
CVE-2018-5347,NETWORK
CVE-2018-5357,NETWORK
CVE-2018-5358,NETWORK
CVE-2018-5359,NETWORK
CVE-2018-5360,NETWORK
CVE-2018-5361,NETWORK
CVE-2018-5362,NETWORK
CVE-2018-5363,NETWORK
CVE-2018-5364,NETWORK
CVE-2018-5365,NETWORK
CVE-2018-5366,NETWORK
CVE-2018-5367,NETWORK
CVE-2018-5368,NETWORK
CVE-2018-5369,NETWORK
CVE-2018-5370,NETWORK
CVE-2018-5371,NETWORK
CVE-2018-5372,NETWORK
CVE-2018-5373,NETWORK
CVE-2018-5374,NETWORK
CVE-2018-5375,NETWORK
CVE-2018-5376,NETWORK
CVE-2018-5377,NETWORK
CVE-2018-5441,LOCAL
CVE-2018-5442,NETWORK
CVE-2018-5443,NETWORK
CVE-2018-5445,NETWORK
CVE-2018-5447,NETWORK
CVE-2018-5479,NETWORK
CVE-2018-5550,NETWORK
CVE-2018-5650,NETWORK
CVE-2018-5651,NETWORK
CVE-2018-5652,NETWORK
CVE-2018-5653,NETWORK
CVE-2018-5654,NETWORK
CVE-2018-5655,NETWORK
CVE-2018-5656,NETWORK
CVE-2018-5657,NETWORK
CVE-2018-5658,NETWORK
